Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,28 ,46.68 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,56 ,46.64 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,28 ,46.39 
289.0 ,133.7 ,0.0 ,194.9 ,5.5 ,924.1 ,760.1 ,28 ,46.25 
289.0 ,134.0 ,0.0 ,195.0 ,6.0 ,924.0 ,760.0 ,28 ,46.24 
314.0 ,145.3 ,113.2 ,178.9 ,8.0 ,869.1 ,690.2 ,28 ,46.23 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,100 ,46.23 
314.0 ,145.0 ,113.0 ,179.0 ,8.0 ,869.0 ,690.0 ,28 ,46.23 
374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,7 ,46.20 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,28 ,45.94 
387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845.0 ,7 ,45.90 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,45.85 
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,100 ,45.84 
213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,28 ,45.71 
375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,7 ,45.70 
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,100 ,45.37 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,100 ,45.37 
310.0 ,142.8 ,0.0 ,167.9 ,10.0 ,914.3 ,804.0 ,28 ,45.30 
310.0 ,143.0 ,0.0 ,168.0 ,10.0 ,914.0 ,804.0 ,28 ,45.30 
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,56 ,45.08 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,56 ,45.08 
336.5 ,0.0 ,0.0 ,181.9 ,3.4 ,985.8 ,816.8 ,28 ,44.87 
336.0 ,0.0 ,0.0 ,182.0 ,3.0 ,986.0 ,817.0 ,28 ,44.86 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,360 ,44.70 
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,28 ,44.64 
141.9 ,166.6 ,129.7 ,173.5 ,10.9 ,882.6 ,785.3 ,28 ,44.61 
142.0 ,167.0 ,130.0 ,174.0 ,11.0 ,883.0 ,785.0 ,28 ,44.61 
312.7 ,144.7 ,0.0 ,127.3 ,8.0 ,999.7 ,822.2 ,28 ,44.52 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,56 ,44.52 
313.0 ,145.0 ,0.0 ,127.0 ,8.0 ,1000.0 ,822.0 ,28 ,44.52 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,28 ,44.42 
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,56 ,44.40 
313.0 ,145.0 ,0.0 ,178.0 ,8.0 ,867.0 ,824.0 ,28 ,44.39 
334.0 ,17.6 ,158.0 ,189.0 ,15.3 ,967.0 ,633.0 ,28 ,44.33 
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,100 ,44.30 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,360 ,44.30 
276.4 ,116.0 ,90.3 ,179.6 ,8.9 ,870.1 ,768.3 ,28 ,44.28 
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,100 ,44.28 
276.0 ,116.0 ,90.0 ,180.0 ,9.0 ,870.0 ,768.0 ,28 ,44.28 
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,100 ,44.21 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,180 ,44.21 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,56 ,44.14 
500.1 ,0.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,44.13 
500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613.0 ,28 ,44.09 
355.0 ,19.0 ,97.0 ,145.0 ,13.1 ,967.0 ,871.0 ,28 ,44.03 
480.0 ,0.0 ,0.0 ,192.0 ,0.0 ,936.2 ,712.2 ,28 ,43.94 
480.0 ,0.0 ,0.0 ,192.0 ,0.0 ,936.0 ,721.0 ,28 ,43.89 
287.3 ,120.5 ,93.9 ,187.6 ,9.2 ,904.4 ,695.9 ,28 ,43.80 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,28 ,43.73 
400.0 ,0.0 ,0.0 ,187.0 ,0.0 ,1025.0 ,745.0 ,28 ,43.70 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,100 ,43.58 
277.0 ,116.8 ,91.0 ,190.6 ,7.0 ,946.5 ,665.6 ,28 ,43.58 
277.0 ,117.0 ,91.0 ,191.0 ,7.0 ,946.0 ,666.0 ,28 ,43.57 
166.8 ,250.2 ,0.0 ,203.5 ,0.0 ,975.6 ,692.6 ,90 ,43.57 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,56 ,43.50 
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,56 ,43.39 
157.0 ,236.0 ,0.0 ,192.0 ,0.0 ,935.4 ,781.2 ,90 ,43.38 
305.3 ,203.5 ,0.0 ,203.5 ,0.0 ,965.4 ,631.0 ,28 ,43.38 
200.0 ,133.0 ,0.0 ,192.0 ,0.0 ,965.4 ,806.2 ,90 ,43.25 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,100 ,43.06 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,43.01 
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,100 ,42.92 
313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,7 ,42.80 
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,56 ,42.70 
298.1 ,0.0 ,107.0 ,186.4 ,6.1 ,879.0 ,815.2 ,28 ,42.64 
298.0 ,0.0 ,107.0 ,186.0 ,6.0 ,879.0 ,815.0 ,28 ,42.64 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,42.62 
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,56 ,42.55 
525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613.0 ,7 ,42.42 
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,100 ,42.35 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,42.33 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,14 ,42.29 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,42.23 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,14 ,42.22 
288.4 ,121.0 ,0.0 ,177.4 ,7.0 ,907.9 ,829.5 ,28 ,42.14 
288.0 ,121.0 ,0.0 ,177.0 ,7.0 ,908.0 ,829.0 ,28 ,42.13 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,42.13 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.0 ,360 ,42.13 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,56 ,42.03 
287.0 ,121.0 ,94.0 ,188.0 ,9.0 ,904.0 ,696.0 ,28 ,41.94 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.93 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,14 ,41.89 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,41.84 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,180 ,41.72 
203.5 ,305.3 ,0.0 ,203.5 ,0.0 ,963.4 ,630.0 ,28 ,41.68 
333.0 ,0.0 ,0.0 ,192.0 ,0.0 ,931.2 ,842.6 ,90 ,41.68 
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,7 ,41.67 
540.0 ,0.0 ,0.0 ,173.0 ,0.0 ,1125.0 ,613.0 ,3 ,41.64 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,41.54 
264.5 ,111.0 ,86.5 ,195.5 ,5.9 ,832.6 ,790.4 ,28 ,41.54 
265.0 ,111.0 ,86.0 ,195.0 ,6.0 ,833.0 ,790.0 ,28 ,41.54 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,28 ,41.41 
516.0 ,0.0 ,0.0 ,162.0 ,8.2 ,801.0 ,802.0 ,28 ,41.37 
516.0 ,0.0 ,0.0 ,162.0 ,8.3 ,801.0 ,802.0 ,28 ,41.37 
531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,3 ,41.30 
331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825.0 ,360 ,41.24 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,28 ,41.20 
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,100 ,41.16 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,41.15 
401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,3 ,41.10 
313.3 ,145.0 ,0.0 ,178.5 ,8.0 ,1001.9 ,688.7 ,28 ,41.05 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.05 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.0 ,180 ,41.05 
313.0 ,145.0 ,0.0 ,178.0 ,8.0 ,1002.0 ,689.0 ,28 ,41.05 
284.0 ,119.7 ,0.0 ,168.3 ,7.2 ,970.4 ,794.2 ,28 ,40.93 
284.0 ,120.0 ,0.0 ,168.0 ,7.0 ,970.0 ,794.0 ,28 ,40.93 
313.3 ,145.0 ,0.0 ,178.5 ,8.0 ,867.2 ,824.0 ,28 ,40.93 
355.9 ,0.0 ,141.6 ,193.3 ,11.0 ,801.4 ,778.4 ,28 ,40.87 
356.0 ,0.0 ,142.0 ,193.0 ,11.0 ,801.0 ,778.0 ,28 ,40.87 
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,100 ,40.86 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1056.0 ,809.0 ,120 ,40.86 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,40.86 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,40.76 
222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,100 ,40.71 
326.0 ,0.0 ,138.0 ,199.0 ,11.0 ,801.0 ,792.0 ,28 ,40.68 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1056.0 ,809.0 ,90 ,40.66 
389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,3 ,40.60 
190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,100 ,40.57 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,40.56 
190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,100 ,40.39 
424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750.0 ,7 ,40.29 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,40.27 
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,28 ,40.23 
469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,3 ,40.20 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,28 ,40.15 
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,100 ,40.15 
317.9 ,0.0 ,126.5 ,209.7 ,5.7 ,860.5 ,736.6 ,28 ,40.06 
318.0 ,0.0 ,126.0 ,210.0 ,6.0 ,861.0 ,737.0 ,28 ,40.06 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,28 ,39.94 
162.0 ,207.0 ,172.0 ,216.0 ,10.0 ,822.0 ,638.0 ,28 ,39.84 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,39.78 
212.0 ,141.3 ,0.0 ,203.5 ,0.0 ,973.4 ,750.0 ,90 ,39.70 
228.0 ,342.1 ,0.0 ,185.7 ,0.0 ,955.8 ,674.3 ,28 ,39.70 
141.3 ,212.0 ,0.0 ,203.5 ,0.0 ,971.8 ,748.5 ,90 ,39.66 
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,56 ,39.64 
212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,100 ,39.61 
393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.6 ,785.6 ,28 ,39.60 
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,56 ,39.59 
393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.0 ,758.0 ,28 ,39.58 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.0 ,90 ,39.49 
159.8 ,250.0 ,0.0 ,168.4 ,12.2 ,1049.3 ,688.2 ,28 ,39.46 
160.0 ,250.0 ,0.0 ,168.0 ,12.0 ,1049.0 ,688.0 ,28 ,39.45 
239.6 ,359.4 ,0.0 ,185.7 ,0.0 ,941.6 ,664.3 ,28 ,39.44 
266.2 ,112.3 ,87.5 ,177.9 ,10.4 ,909.7 ,744.5 ,28 ,39.42 
266.0 ,112.0 ,87.0 ,178.0 ,10.0 ,910.0 ,745.0 ,28 ,39.42 
160.0 ,128.0 ,122.0 ,182.0 ,6.4 ,824.0 ,879.0 ,28 ,39.40 
331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1025.0 ,821.0 ,120 ,39.38 
450.1 ,50.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,39.38 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,90 ,39.36 
192.0 ,288.0 ,0.0 ,192.0 ,0.0 ,929.8 ,716.1 ,28 ,39.32 
439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,3 ,39.30 
234.0 ,156.0 ,0.0 ,189.0 ,5.9 ,981.0 ,760.0 ,28 ,39.30 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,7 ,39.30 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,39.29 
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,56 ,39.27 
168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,100 ,39.23 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,28 ,39.16 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,56 ,39.15 
397.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1040.0 ,734.0 ,28 ,39.09 
374.3 ,0.0 ,0.0 ,190.2 ,6.7 ,1013.2 ,730.4 ,28 ,39.06 
374.0 ,0.0 ,0.0 ,190.0 ,7.0 ,1013.0 ,730.0 ,28 ,39.05 
424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750.0 ,7 ,39.00 
331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825.0 ,180 ,39.00 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,39.00 
339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781.0 ,365 ,38.89 
288.0 ,192.0 ,0.0 ,192.0 ,0.0 ,932.0 ,717.8 ,28 ,38.80 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,14 ,38.77 
316.1 ,210.7 ,0.0 ,185.7 ,0.0 ,977.0 ,689.3 ,28 ,38.70 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830.0 ,120 ,38.70 
326.5 ,0.0 ,137.9 ,199.0 ,10.8 ,801.1 ,792.5 ,28 ,38.63 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,7 ,38.61 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,38.60 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,14 ,38.60 
190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,56 ,38.56 
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,28 ,38.50 
313.8 ,0.0 ,112.6 ,169.9 ,10.1 ,925.3 ,782.9 ,28 ,38.46 
314.0 ,0.0 ,113.0 ,170.0 ,10.0 ,925.0 ,783.0 ,28 ,38.46 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,38.41 
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,56 ,38.33 
309.9 ,142.8 ,111.2 ,167.8 ,22.1 ,913.9 ,651.2 ,28 ,38.22 
375.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1038.0 ,758.0 ,28 ,38.21 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,28 ,38.20 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,970.0 ,850.0 ,360 ,38.11 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,90 ,38.07 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,7 ,38.02 
286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,7 ,38.00 
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,100 ,37.96 
491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699.0 ,7 ,37.92 
166.0 ,259.7 ,0.0 ,183.2 ,12.7 ,858.8 ,826.8 ,28 ,37.92 
331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1025.0 ,821.0 ,90 ,37.91 
166.0 ,260.0 ,0.0 ,183.0 ,13.0 ,859.0 ,827.0 ,28 ,37.91 
210.7 ,316.1 ,0.0 ,185.7 ,0.0 ,977.0 ,689.3 ,28 ,37.81 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,28 ,37.81 
475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,3 ,37.80 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,37.72 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,100 ,37.68 
382.5 ,0.0 ,0.0 ,185.7 ,0.0 ,1047.8 ,739.3 ,28 ,37.44 
150.0 ,237.0 ,0.0 ,174.0 ,12.0 ,1069.0 ,675.0 ,28 ,37.43 
150.0 ,236.8 ,0.0 ,173.8 ,11.9 ,1069.3 ,674.8 ,28 ,37.43 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,37.43 
382.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1047.0 ,739.0 ,28 ,37.42 
382.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1047.0 ,739.0 ,28 ,37.42 
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,28 ,37.40 
155.6 ,243.5 ,0.0 ,180.3 ,10.7 ,1022.0 ,697.7 ,28 ,37.36 
156.0 ,243.0 ,0.0 ,180.0 ,11.0 ,1022.0 ,698.0 ,28 ,37.36 
194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,100 ,37.34 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,970.0 ,850.0 ,180 ,37.33 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,56 ,37.27 
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,28 ,37.27 
321.4 ,0.0 ,127.9 ,182.5 ,11.5 ,870.1 ,779.7 ,28 ,37.27 
321.0 ,0.0 ,128.0 ,182.0 ,11.0 ,870.0 ,780.0 ,28 ,37.26 
331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825.0 ,90 ,37.23 
272.8 ,105.1 ,81.8 ,209.7 ,9.0 ,904.0 ,679.7 ,28 ,37.17 
273.0 ,105.0 ,82.0 ,210.0 ,9.0 ,904.0 ,680.0 ,28 ,37.17 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,14 ,36.99 
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,56 ,36.97 
250.2 ,166.8 ,0.0 ,203.5 ,0.0 ,977.6 ,694.1 ,28 ,36.96 
397.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1040.0 ,734.0 ,28 ,36.94 
500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613.0 ,14 ,36.94 
387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845.0 ,7 ,36.84 
313.3 ,0.0 ,113.0 ,178.5 ,8.0 ,1001.9 ,688.7 ,28 ,36.80 
313.0 ,0.0 ,113.0 ,178.0 ,8.0 ,1002.0 ,689.0 ,28 ,36.80 
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,56 ,36.64 
133.0 ,200.0 ,0.0 ,192.0 ,0.0 ,927.4 ,839.2 ,90 ,36.59 
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,56 ,36.56 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,36.45 
339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781.0 ,180 ,36.45 
139.9 ,132.6 ,103.3 ,200.3 ,7.4 ,916.0 ,753.4 ,28 ,36.44 
140.0 ,133.0 ,103.0 ,200.0 ,7.0 ,916.0 ,753.0 ,28 ,36.44 
151.8 ,178.1 ,138.7 ,167.5 ,18.3 ,944.0 ,694.6 ,28 ,36.35 
152.0 ,178.0 ,139.0 ,168.0 ,18.0 ,944.0 ,695.0 ,28 ,36.35 
425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,3 ,36.30 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,56 ,36.30 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,36.25 
307.0 ,0.0 ,0.0 ,193.0 ,0.0 ,968.0 ,812.0 ,365 ,36.15 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,14 ,35.96 
298.1 ,0.0 ,107.5 ,163.6 ,12.8 ,953.2 ,784.0 ,28 ,35.87 
298.0 ,0.0 ,107.0 ,164.0 ,13.0 ,953.0 ,784.0 ,28 ,35.86 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,56 ,35.85 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830.0 ,90 ,35.76 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,7 ,35.75 
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,56 ,35.57 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,3 ,35.36 
190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,56 ,35.34 
230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,100 ,35.34 
160.2 ,188.0 ,146.4 ,203.2 ,11.3 ,828.7 ,709.7 ,28 ,35.31 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,14 ,35.23 
140.0 ,164.0 ,128.0 ,237.0 ,6.0 ,869.0 ,656.0 ,28 ,35.23 
139.7 ,163.9 ,127.7 ,236.7 ,5.8 ,868.6 ,655.6 ,28 ,35.23 
339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781.0 ,90 ,35.17 
337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,7 ,35.10 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,35.08 
